pl_name,pl_masse,pl_rade,pl_orbsmax,pl_orbincl,pl_trandep,st_teff,st_rad,st_radv,st_dist,st_optmag
HD 4113 b,,,1.280000,,,5688.00,,4.87,44.05,7.881
HAT-P-45 b,283.49200,15.984,0.045200,87.800,,6330.00,1.32,23.90,305.00,
HD 4203 b,,,1.173500,,,5702.00,,-14.10,77.82,8.687
HD 4208 b,,,1.650000,,,5600.00,,56.20,32.70,7.780
HD 4308 b,,,0.115000,,,5685.00,,95.10,21.85,6.560
HAT-P-46 b,156.68400,14.392,0.057700,85.500,,6120.00,1.40,-20.91,296.00,
HAT-P-54 b,241.55080,10.581,0.041170,87.040,,4390.00,0.62,,,13.600
HATS-2 b,427.46300,13.092,0.023000,87.200,,5227.00,0.90,,360.00,13.562
HATS-3 b,340.38200,15.480,0.048500,86.200,,6351.00,1.40,,453.00,12.440
HATS-5 b,75.32300,10.223,0.054200,89.300,,5304.00,0.87,,257.00,12.630
HD 4732 b,,,1.190000,,,4959.00,5.40,,56.50,5.890
HD 5319 c,,,2.071000,,,4958.00,3.85,,114.00,8.050
HD 5608 b,,,1.900000,,,4854.00,5.50,,58.17,5.980
HD 5891 b,,,0.760000,,,4907.00,8.70,,150.60,8.250
HD 6434 b,,,0.148000,,,5690.00,1.14,22.90,40.32,7.710
HD 11977 b,,,1.930000,,,4970.00,10.09,-18.01,66.49,4.690
HD 11964 c,,,0.229000,,,5349.00,,-9.40,33.98,6.420
HD 12661 c,,,2.814500,,,5748.00,1.11,-47.30,37.16,7.425
HD 13189 b,,,1.850000,,,,,,300.30,7.556
HD 13908 c,,,2.030000,,,6255.00,1.67,15.88,66.89,7.508
HD 13931 b,,,5.150000,,,5829.00,1.23,30.30,45.52,7.597
HD 16141 b,,,0.363000,,,5794.00,,-51.20,35.91,6.830
HD 16175 b,,,2.148000,,,6022.00,,21.83,59.84,7.282
HD 7199 b,,,1.360000,,,5386.00,0.96,4.80,35.88,8.027
HD 7449 b,,,2.300000,,,6024.00,1.01,-20.00,38.52,7.483
HD 7924 b,,,0.056640,,,5075.00,0.78,-23.40,16.82,7.185
HD 7924 c,,,0.113400,,,5075.00,0.78,-23.40,16.82,7.185
HD 8535 b,,,2.450000,,,6136.00,1.19,2.46,52.50,7.700
HD 8574 b,,,0.757000,,,6050.00,,18.60,44.20,7.112
HD 9446 b,,,0.189000,,,5793.00,1.00,21.71,52.85,8.369
HD 9446 c,,,0.654000,,,5793.00,1.00,21.71,52.85,8.369
HD 10180 d,,,0.128590,,,5911.00,1.11,35.53,39.02,7.321
HD 10180 e,,,0.269900,,,5911.00,1.11,35.53,39.02,7.321
HD 10180 f,,,0.492900,,,5911.00,1.11,35.53,39.02,7.321
HD 10180 h,,,3.381000,,,5911.00,1.11,35.53,39.02,7.321
HD 10442 b,,,2.335000,,,5034.00,,,,7.840
HD 10697 b,,,2.131000,,,5680.00,,-46.60,32.60,6.279
HD 11506 b,,,2.708000,,,6055.00,1.33,-8.10,51.70,7.510
HD 11506 c,,,0.721000,,,6055.00,1.33,-8.10,51.70,7.510
Kepler-205 c,,1.640,0.122000,,,4321.00,0.55,,,13.506
Kepler-206 c,,1.770,0.111000,,,5764.00,1.19,,,13.484
Kepler-206 d,,1.190,0.163000,,,5764.00,1.19,,,13.484
Kepler-207 b,,1.570,0.029000,,,5920.00,1.59,,,13.182
Kepler-207 d,,3.310,0.068000,,,5920.00,1.59,,,13.182
Kepler-208 b,,1.630,0.054000,,,6092.00,1.31,,,13.749
Kepler-208 c,,1.390,0.079000,,,6092.00,1.31,,,13.749
Kepler-208 e,,1.480,0.132000,,,6092.00,1.31,,,13.749
Kepler-209 b,,2.260,0.122000,,,5513.00,0.94,,,13.998
Kepler-209 c,,3.100,0.231000,,,5513.00,0.94,,,13.998
Kepler-210 b,,2.940,0.032000,,,4559.00,0.65,,,13.822
Kepler-211 b,,1.260,0.048000,,,5123.00,0.82,,,13.283
Kepler-211 c,,1.290,0.062000,,,5123.00,0.82,,,13.283
Kepler-212 b,,1.090,0.133000,,,5852.00,1.46,,,13.178
Kepler-213 b,,1.620,0.036000,,,5696.00,1.20,,,13.648
Kepler-213 c,,2.340,0.057000,,,5696.00,1.20,,,13.648
HAT-P-36 b,582.24000,14.168,0.023800,86.000,,5560.00,1.10,-16.29,317.00,12.262
HAT-P-37 b,371.52800,13.204,0.037900,86.900,1.899000,5500.00,0.88,-20.53,411.00,13.230
HAT-P-38 b,84.85700,9.247,0.052300,88.300,,5330.00,0.92,-19.70,249.00,12.557
HAT-P-39 b,190.37200,17.609,0.050900,87.000,0.999000,6430.00,1.62,28.42,642.00,12.422
HAT-P-40 b,195.45700,19.392,0.060800,88.300,0.404000,6080.00,2.21,-25.00,501.00,11.699
HAT-P-41 b,254.25300,18.887,0.042600,87.700,0.771000,6390.00,1.68,31.68,344.00,
HAT-P-42 b,331.80100,14.348,0.057500,85.900,,5743.00,1.53,20.26,447.00,12.168
HAT-P-43 b,210.39500,14.359,0.044300,88.700,,5645.00,1.10,-4.86,542.00,13.356
HAT-P-44 b,111.87100,13.922,0.050700,89.100,,5295.00,0.95,-33.45,363.00,
GJ 581 b,,,0.040610,,,,0.29,-9.21,6.27,10.560
GJ 581 c,,,0.072100,,,,0.29,-9.21,6.27,10.560
GJ 649 b,,,1.135000,,,3700.00,,4.30,10.32,9.690
GJ 667 C b,,,0.050500,,,3350.00,,6.50,6.80,10.220
GJ 163 b,,,0.060700,,,3500.00,,58.60,14.97,11.810
GJ 667 C c,,,0.125000,,,3350.00,,6.50,6.80,10.220
GJ 163 c,,,0.125400,,,3500.00,,58.60,14.97,11.810
GJ 163 d,,,1.030400,,,3500.00,,58.60,14.97,11.810
GJ 317 b,794.50000,,1.150000,45.000,,3510.00,,87.80,15.10,11.970
GJ 433 b,,,0.058000,,,3600.00,,18.00,9.04,9.806
GJ 436 b,22.10000,4.170,0.029100,86.440,,,0.46,9.60,10.23,10.670
GJ 667 C f,,,0.156000,,,3350.00,,6.50,6.80,10.220
GJ 667 C g,,,0.549000,,,3350.00,,6.50,6.80,10.220
GJ 676 A b,2129.46100,,1.812000,45.000,,,,-39.04,16.90,9.580
GJ 676 A d,,,,,,,,-39.04,16.90,9.580
GJ 687 b,,,0.163530,,,3413.00,0.42,-28.80,4.53,9.150
GJ 832 c,,,0.163000,,,3472.00,,,4.94,8.660
GJ 849 b,,,2.320000,,,,,-15.30,8.77,10.370
GJ 876 c,226.98460,,0.129590,59.000,,,0.30,-1.60,4.70,10.191
GJ 876 d,6.83000,,0.020807,59.000,,,0.30,-1.60,4.70,10.191
GJ 1214 b,6.26125,2.847,0.014110,88.170,,3170.00,0.18,-21.10,12.95,15.100
GJ 3021 b,,,0.490000,,,5540.00,0.90,-5.81,17.62,6.590
GJ 3293 b,,,0.143390,,,3466.00,0.40,13.30,15.77,11.962
GJ 3293 c,,,0.361750,,,3466.00,0.40,13.30,15.77,11.962
GJ 3341 b,,,0.089000,,,3526.00,0.44,47.80,23.16,12.080
HAT-P-3 b,187.83000,9.270,0.038660,87.070,,5185.00,0.80,,138.00,11.577
HAT-P-5 b,336.89000,14.120,0.040750,86.750,1.244800,5960.00,1.17,7.61,340.00,12.000
HAT-P-6 b,335.93200,14.908,0.052350,85.510,0.825500,6570.00,1.46,-22.70,261.00,10.440
HAT-P-8 b,483.08000,16.810,0.048700,87.500,0.642700,6200.00,1.58,-22.53,230.00,10.300
GJ 3634 b,8.40000,,0.028700,59.000,,,0.43,5.19,19.80,11.930
GSC 06214-00210 b,5000.00000,,320.000000,,,4200.00,,,145.00,12.375
HAT-P-2 b,2888.95000,12.969,0.068780,86.720,,6290.00,1.64,-0.22,135.32,
HAT-P-9 b,247.90000,15.690,0.053000,86.500,1.170000,6350.00,1.32,,480.00,12.297
HAT-P-12 b,67.05900,10.749,0.038400,89.000,1.977000,4650.00,0.70,-40.51,142.50,12.840
HAT-P-13 b,270.46200,14.258,,83.400,,5653.00,1.56,14.69,214.00,10.622
HAT-P-14 b,709.36700,12.890,0.060600,83.500,0.648000,6600.00,1.47,-20.81,205.00,9.980
HAT-P-15 b,618.47100,12.016,0.096400,89.100,,5568.00,1.08,31.23,190.00,12.160
HAT-P-16 b,1332.60500,14.448,0.041300,86.600,1.147000,6158.00,1.24,-16.83,235.00,10.812
HAT-P-17 b,169.71000,11.321,0.088200,89.200,,5246.00,0.84,20.13,90.00,10.540
HAT-P-18 b,62.61000,11.153,0.055900,88.800,,4803.00,0.75,-11.92,166.00,12.759
BD+48 738 b,,,1.000000,,,4414.00,11.00,,,9.140
BD+49 828 b,,,4.200000,,,4943.00,7.60,,,9.380
CFBDSIR J145829+101343 b,3337.10000,,2.600000,,,580.50,,,23.10,
CHXR 73 b,3994.48600,,210.000000,,,,,,,
CoRoT-1 b,327.35000,16.700,,85.100,1.926540,5950.00,1.11,23.35,,13.600
CoRoT-2 b,1102.82000,16.432,0.027980,88.080,2.750000,5625.00,0.91,23.25,200.00,12.570
CoRoT-4 b,228.83000,13.340,0.090000,90.000,,6190.00,1.17,32.30,,
CoRoT-5 b,148.42000,15.558,0.049470,85.830,1.461000,6100.00,1.19,,,
CoRoT-6 b,940.74000,13.068,0.085500,89.070,,6090.00,1.02,-18.24,,13.912
CoRoT-7 b,5.74000,1.585,0.017016,80.780,,5259.00,0.82,31.17,153.70,11.668
CoRoT-8 b,69.92000,6.390,0.063000,88.400,0.651000,5080.00,0.77,-37.47,380.00,14.800
CoRoT-9 b,266.97720,11.949,0.402100,89.900,,5625.00,0.96,19.82,460.00,13.690
CoRoT-10 b,874.00000,10.870,0.105500,88.550,1.610360,5075.00,0.79,15.33,345.00,15.220
CoRoT-12 b,291.43800,16.140,0.040160,85.480,1.744000,5675.00,1.12,,1150.00,15.515
CoRoT-13 b,415.70400,9.920,0.051000,88.020,,5945.00,1.01,22.45,1060.00,15.039
CoRoT-14 b,2415.40000,12.220,0.027000,79.600,,6035.00,1.21,,1340.00,16.033
CoRoT-16 b,170.03200,13.110,0.061800,85.010,1.020000,5650.00,1.19,,840.00,15.630
CoRoT-18 b,1102.82000,14.680,0.029500,86.500,,5440.00,1.00,29.55,870.00,15.000
CoRoT-19 b,352.78000,14.460,0.051800,88.000,,6090.00,1.65,24.16,770.00,14.007
CoRoT-23 b,889.90000,11.770,0.048000,85.700,,5900.00,1.61,-35.18,600.00,15.630
CoRoT-24 c,28.00000,5.000,0.098000,89.000,,4950.00,0.86,51.37,600.00,
CoRoT-25 b,85.81000,12.110,0.057800,84.500,,6040.00,1.19,-15.42,1000.00,
CoRoT-27 b,3302.11000,11.287,0.047600,86.700,,5900.00,1.08,-4.09,,15.540
CoRoT-28 b,153.82972,10.705,0.060300,88.100,,5150.00,1.78,,560.00,
CoRoT-29 b,270.15550,10.088,0.038600,87.300,,5260.00,0.90,,765.00,
GJ 86 b,,,0.113000,,,5151.00,,56.70,10.91,6.120
HAT-P-19 b,92.80200,12.689,0.046600,88.200,,4990.00,0.82,-20.22,215.00,12.901
